"","startDateTime","soilTempMean"
"119",2022-01-03 11:00:00,6.70687878787879
"120",2022-01-03 11:30:00,6.67893939393939
"121",2022-01-03 12:00:00,6.64936363636364
"122",2022-01-03 12:30:00,6.61369696969697
"123",2022-01-03 13:00:00,6.57287878787879
"124",2022-01-03 13:30:00,6.5410303030303
"125",2022-01-03 14:00:00,6.51978787878788
"126",2022-01-03 14:30:00,6.50515151515151
"127",2022-01-03 15:00:00,6.48966666666667
"128",2022-01-03 15:30:00,6.47824242424242
"129",2022-01-03 16:00:00,6.46587878787879
"130",2022-01-03 16:30:00,6.45945454545455
"131",2022-01-03 17:00:00,6.45163636363636
"132",2022-01-03 17:30:00,6.44460606060606
"133",2022-01-03 18:00:00,6.43736363636364
"134",2022-01-03 18:30:00,6.43360606060606
"135",2022-01-03 19:00:00,6.42390909090909
"136",2022-01-03 19:30:00,6.41439393939394
"137",2022-01-03 20:00:00,6.40942424242424
"138",2022-01-03 20:30:00,6.40587878787879
"139",2022-01-03 21:00:00,6.40184848484849
"140",2022-01-03 21:30:00,6.39860606060606
"141",2022-01-03 22:00:00,6.39590909090909
"142",2022-01-03 22:30:00,6.39378787878788
"143",2022-01-03 23:00:00,6.39257575757576
"144",2022-01-03 23:30:00,6.39272727272727
"145",2022-01-04 00:00:00,6.39075757575758
"146",2022-01-04 00:30:00,6.38872727272727
"147",2022-01-04 01:00:00,6.38572727272727
"148",2022-01-04 01:30:00,6.35009090909091
"149",2022-01-04 02:00:00,6.32621212121212
"150",2022-01-04 02:30:00,6.32633333333333
"151",2022-01-04 03:00:00,6.32509090909091
"152",2022-01-04 03:30:00,6.32224242424242
"153",2022-01-04 04:00:00,6.32251515151515
"154",2022-01-04 04:30:00,6.32048484848485
"155",2022-01-04 05:00:00,6.31981818181818
"156",2022-01-04 05:30:00,6.31993939393939
"157",2022-01-04 06:00:00,6.32075757575758
"158",2022-01-04 06:30:00,6.32154545454546
"159",2022-01-04 07:00:00,6.32145454545455
"160",2022-01-04 07:30:00,6.32112121212121
"161",2022-01-04 08:00:00,6.32112121212121
"162",2022-01-04 08:30:00,6.32036363636364
"163",2022-01-04 09:00:00,6.31742424242424
"164",2022-01-04 09:30:00,6.3159696969697
"165",2022-01-04 10:00:00,6.31275757575758
"166",2022-01-04 10:30:00,6.30981818181818
"167",2022-01-04 11:00:00,6.30648484848485
"168",2022-01-04 11:30:00,6.30342424242424
"169",2022-01-04 12:00:00,6.30248484848485
"170",2022-01-04 12:30:00,6.30093939393939
"171",2022-01-04 13:00:00,6.2999696969697
"172",2022-01-04 13:30:00,6.29851515151515
"173",2022-01-04 14:00:00,6.29536363636364
"174",2022-01-04 14:30:00,6.29384848484848
"175",2022-01-04 15:00:00,6.29027272727273
"176",2022-01-04 15:30:00,6.28772727272727
"177",2022-01-04 16:00:00,6.28472727272727
"178",2022-01-04 16:30:00,6.28187878787879
"179",2022-01-04 17:00:00,6.28106060606061
"180",2022-01-04 17:30:00,6.282
"181",2022-01-04 18:00:00,6.28124242424242
"182",2022-01-04 18:30:00,6.27987878787879
"183",2022-01-04 19:00:00,6.27863636363636
"184",2022-01-04 19:30:00,6.27660606060606
"185",2022-01-04 20:00:00,6.27590909090909
"186",2022-01-04 20:30:00,6.27548484848485
"187",2022-01-04 21:00:00,6.27348484848485
"188",2022-01-04 21:30:00,6.27275757575758
"189",2022-01-04 22:00:00,6.27060606060606
"190",2022-01-04 22:30:00,6.26742424242424
"191",2022-01-04 23:00:00,6.26490909090909
"192",2022-01-04 23:30:00,6.26227272727273
"193",2022-01-05 00:00:00,6.25951515151515
"194",2022-01-05 00:30:00,6.25772727272727
"195",2022-01-05 01:00:00,6.25524242424242
"196",2022-01-05 01:30:00,6.25209090909091
"197",2022-01-05 02:00:00,6.24787878787879
"198",2022-01-05 02:30:00,6.24393939393939
